block_number,experimental_condition,condition_item,task_type,task_id,MCQ_response_unprocessed,score_MCQ,reaction_time_MCQ,score_TEST,reaction_time_TEST,BI_score_regular,BI_score_TaskType,BI_score_TaskID,BI_score_ParticipantID,BI_score_TaskType_ParticipantID,affinity_score,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification,BI_score
1,F,F6,RAT,R8,No Response,0.583333333,90.0,0.086241667,14.2617635,-0.000178666,-0.11531967026298413,-0.10973818161805841,-0.03693945677920561,0.024288813739636997,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,-0.000178665962494261
1,F,F12,Insight,I2,incorrect,0.583333333,75.1721347,0.0,32.0052315,-0.547758202,-0.42310915435206603,-0.04334701502044083,-0.5414299043125963,-0.41992524112280805,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,-0.5477582019734948
1,F,F1,RAT,R11,incorrect,0.583333333,59.2437904,0.139537182,14.8335587,0.079968119,-0.06912676137140562,0.8239368047472763,0.03909099191478604,0.04259506027356902,3,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,0.07996811880716108
1,F,F11,RAT,R9,correct,0.583333333,83.7861546,1.0,6.5398023,1.766244363,3.298821745008964,2.4220569416240445,1.6247112063818587,3.0820373697913945,5,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,1.766244363047642
2,F,F10,RAT,R4,incorrect,0.583333333,59.1807587,1.0,7.4058212,1.746859083,3.1692480701929377,2.2721724430538415,1.6070157801877034,2.946448543748328,6,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,1.7468590825751913
2,F,F5,Insight,I7,incorrect,0.583333333,56.4753948,1.0,58.1031139,0.612032535,0.7015719414091287,0.45847016821759956,0.5711143683174259,0.69378195733498,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,0.6120325352753054
2,F,F7,Insight,I10,incorrect,0.583333333,57.4685765,0.25,109.8615532,-1.854528488,-1.5886897868981675,-0.059468978621002595,-1.720822657330396,-1.3903192424996007,6,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,-1.8545284878956807
2,F,F2,RAT,R7,incorrect,0.583333333,73.7100822,0.052121952,18.7016312,-0.159066208,-0.8639551775037663,-0.7618594015652367,-0.18381396071467626,-0.7398744829958888,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,-0.15906620753064268
3,F,F8,Insight,I11,incorrect,0.583333333,62.1621535,0.0,27.8221806,-0.454123277,-0.33826861554465865,-0.4818335600878396,-0.4559573257495355,-0.34669174311359785,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,-0.4541232767691617
3,F,F9,RAT,R5,correct,0.583333333,56.7282149,0.070718415,17.7841684,-0.106097618,-0.6807145914992776,-0.7535357868066238,-0.1344612412305168,-0.55860615699033,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,-0.10609761824176211
3,F,F4,Insight,I6,incorrect,0.583333333,48.4091961,1.0,24.8372978,1.356666602,1.3762684319041703,0.8373711409005229,1.2508371706556858,1.2761731678110708,3,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,1.356666601856852
3,F,F3,Insight,I1,incorrect,0.583333333,51.7963611,1.0,66.9655793,0.413651902,0.5218236290713549,-0.021965808831514527,0.39002697821086335,0.5386250257691715,1,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,0.4136519024087558
4,DFU,DFU5,RAT,R2,correct,0.583333333,38.9141774,0.076434665,17.8225371,-0.096987479,-0.672324920620491,-0.7428468722640387,-0.12583740352435724,-0.5530480189898276,5,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,-0.09698747897538781
4,DFU,DFU7,RAT,R10,correct,0.583333333,40.3131009,0.11024587,19.797572,-0.082231473,-0.8842492267830291,-0.07602050082698787,-0.11054681079288886,-0.7938624120972518,6,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,-0.08223147256156677
4,DFU,DFU6,Insight,I5,correct,0.583333333,38.1902544,0.25,110.3234418,-1.864867569,-1.5980578004915467,-1.2054217984397764,-1.7302604601672875,-1.3984056174152337,4,20,Vrouw,ASO/doorstroomfinaliteit,2.5,Boven gemiddeld,86f8e3f6-3a4b-4939-b59c-2b675f2ab0e9,-1.8648675694769576
