block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU4,DFU4,DFU4,RAT,R8,correct,60.9482824,zuurstof,19.2393242,6,22,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
1,DFU,DFU12,DFU12,DFU12,Insight,I3,correct,42.1872995,een bot,68.3748551,6,22,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
1,DFU,DFU8,DFU8,DFU8,RAT,R3,correct,75.0626542,sneeuw,9.0149499,2,22,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
1,DFU,DFU3,DFU3,DFU3,RAT,R10,correct,65.0931599,dier,20.0053302,4,22,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
2,F,F7,F7,F7,RAT,R2,incorrect,55.6042983,platteland,15.3485816,1,22,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
2,F,F10,F10,F10,Insight,I8,correct,34.8578956,Hem > Coach > Ruben > Marit,102.2914944,2,22,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
2,F,F12,F12,F12,Insight,I4,correct,38.1135012,de letter m,28.3738906,7,22,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
2,F,F4,F4,F4,RAT,R12,correct,53.289162,materiaal,16.3069274,4,22,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
3,F,F1,F1,F1,Insight,I5,correct,39.383622,geen idee,46.0247896,7,22,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
3,F,F2,F2,F2,RAT,R11,correct,43.3819663,douane,20.0027606,4,22,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,25ea06cd-7904-4cdc-b511-ae0ffefb72ad
