block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU11,DFU11,DFU11,RAT,R2,correct,56.3250881,nederland,20.0103469,5,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
1,DFU,DFU5,DFU5,DFU5,Insight,I2,correct,40.7587457,?,55.6417024,6,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
1,DFU,DFU12,DFU12,DFU12,Insight,I9,correct,61.0774295,omdat er geen waarde van de munt opstaat,70.156538,6,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
1,DFU,DFU1,DFU1,DFU1,RAT,R4,correct,31.0947243,natuur,16.5554149,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
2,DFU,DFU8,DFU8,DFU8,Insight,I8,correct,45.0052725,coach>hem.ruben.;q,120.0064103,5,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
2,DFU,DFU3,DFU3,DFU3,Insight,I12,correct,46.0285316,vuur,11.8364338,2,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
2,DFU,DFU9,DFU9,DFU9,RAT,R7,correct,28.0451968,boek,14.0228252,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
2,DFU,DFU7,DFU7,DFU7,Insight,I3,correct,28.7034283,een deur,89.4723248,6,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
3,DFU,DFU2,DFU2,DFU2,RAT,R8,correct,59.9507115,dak,20.0012467,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
3,DFU,DFU6,DFU6,DFU6,RAT,R12,correct,68.3926236,voed,20.0064206,3,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
3,DFU,DFU10,DFU10,DFU10,RAT,R11,correct,40.5935573,No Response,20.0016809,5,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2857f8e4-f95f-4268-9a3f-d1a4e8d13fc5
