block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F7,F7,F7,RAT,R9,No Response,90.0,voorwerpen,17.429619800008368,4,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
1,F,F3,F3,F3,RAT,R11,incorrect,-163.8004307000083,No Response,0.02113350000581704,7,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
1,F,F2,F2,F2,RAT,R1,incorrect,51.439557800011244,No Response,0.016092500009108335,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
1,F,F10,F10,F10,RAT,R10,correct,83.82099720000406,lijband,16.77231380000012,4,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
2,F,F11,F11,F11,Insight,I9,correct,52.295542500010924,Omdat de  keizer en het jaartal niet overeenkwamen,87.40100059998804,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
2,F,F9,F9,F9,Insight,I4,incorrect,57.034673399990425,de letter m,32.17479689998436,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
2,F,F1,F1,F1,Insight,I6,correct,38.89561999999569,hij heeft een nachtbril op,62.68879179999931,7,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
2,F,F6,F6,F6,Insight,I10,incorrect,58.51377859999775,je laat eerst de ene volledig overlopen en dan stop je wanneer de tweede ongeveer over de helft is,120.0124732000113,4,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
3,DFU,DFU3,DFU3,DFU3,RAT,R2,correct,32.11964109999826,boer,14.487369600014063,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
3,DFU,DFU10,DFU10,DFU10,Insight,I1,correct,52.19697089999681,hij stond nog op de onderste trede van de ladder toen die viel,64.788564699993,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
3,DFU,DFU6,DFU6,DFU6,RAT,R4,correct,45.326273099984974,No Response,0.01817029999801889,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
3,DFU,DFU12,DFU12,DFU12,Insight,I7,correct,42.81228030001512,No Response,82.4859301999968,4,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
4,DFU,DFU2,DFU2,DFU2,Insight,I5,correct,38.06844539998565,je schaduw,90.27242570000817,7,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
4,DFU,DFU1,DFU1,DFU1,RAT,R8,correct,29.190760800003773,zuurstof,18.432652999996208,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
4,DFU,DFU9,DFU9,DFU9,RAT,R7,correct,33.82688360000611,huis,14.423184400016908,4,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
4,DFU,DFU5,DFU5,DFU5,RAT,R6,correct,27.45012160000624,living,18.635718500008807,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
5,F,F5,F5,F5,RAT,R12,correct,62.50793019999401,zwart,17.690337600011844,4,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
5,F,F4,F4,F4,Insight,I8,incorrect,59.70956760001718,coach> coach > ruben > marit,93.11215879998053,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
5,F,F8,F8,F8,Insight,I12,incorrect,40.605429199989885,vuur,16.267548499978147,7,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
5,F,F12,F12,F12,RAT,R5,incorrect,37.248277700011386,No Response,20.00262169999769,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
6,DFU,DFU7,DFU7,DFU7,Insight,I3,incorrect,29.24263369999244,vertrouwen,9.522127300006105,1,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
6,DFU,DFU4,DFU4,DFU4,RAT,R3,correct,23.628799300000537,wintermode,19.371066599996993,4,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
6,DFU,DFU11,DFU11,DFU11,Insight,I2,correct,38.66189129999839,mieren,21.358447400009027,4,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
6,DFU,DFU8,DFU8,DFU8,Insight,I11,correct,30.894039099977817,jojo,5.458090500003891,4,19,X,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,d70c19b4-f4a7-4954-9f65-4af95eb80ead
