block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F9,F9,F9,Insight,I1,correct,45.52363919999334,hij is een freerunner in zijn vrije tijd,50.9197862999863,1,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
1,F,F6,F6,F6,Insight,I5,correct,-29.706694000022253,een ballistische raket,58.724912999983644,7,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
1,F,F5,F5,F5,RAT,R3,correct,67.36182109999936,No Response,20.013560899998993,4,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
1,F,F8,F8,F8,Insight,I3,incorrect,65.08160730000236,vertrouwen,12.990972500003409,1,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
2,DFU,DFU4,DFU4,DFU4,RAT,R4,correct,49.07853289999184,speelplein,14.521386900014477,4,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
2,DFU,DFU11,DFU11,DFU11,Insight,I4,correct,38.63134129997343,geduld,83.41019990001223,4,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
2,DFU,DFU7,DFU7,DFU7,RAT,R11,correct,38.957366799993906,tolbrug,16.169971399998758,7,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
2,DFU,DFU12,DFU12,DFU12,Insight,I2,correct,40.65131709998241,een maquette,53.43263920000754,1,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
3,F,F11,F11,F11,Insight,I10,incorrect,44.58722049999051,geen idee maar  22-,120.01604039999074,1,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
3,F,F2,F2,F2,RAT,R8,correct,59.791896500013536,stoom,9.219577300013043,4,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
3,F,F7,F7,F7,RAT,R7,incorrect,44.9263832999859,mot,11.072299499996006,1,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
3,F,F10,F10,F10,RAT,R5,correct,43.1967963000061,overstroming,14.867677200003527,7,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
4,DFU,DFU2,DFU2,DFU2,Insight,I6,correct,47.38013750000391,infrarood,22.949642499996116,4,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
4,DFU,DFU8,DFU8,DFU8,Insight,I8,correct,36.32995300000766,Coach>Hem>ruben>marit,105.06672410000465,1,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
4,DFU,DFU9,DFU9,DFU9,RAT,R2,correct,48.56930149998516,nederland,16.629322599997977,4,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
4,DFU,DFU5,DFU5,DFU5,RAT,R6,correct,44.37159940000856,deur,11.686768999992637,1,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
5,DFU,DFU6,DFU6,DFU6,RAT,R10,incorrect,32.395618399983505,aanrijding,13.668273099989165,1,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
5,DFU,DFU10,DFU10,DFU10,RAT,R12,correct,35.48418919998221,afwas,16.171073200006504,7,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
5,DFU,DFU1,DFU1,DFU1,Insight,I9,correct,34.42379309999524,"zou ik niet weten, ik ben geen verzamelaar en dit is iets zeer specifiek",55.92386039998382,1,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
5,DFU,DFU3,DFU3,DFU3,Insight,I11,correct,46.07875819999026,een lift,17.799179099994944,4,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
6,F,F4,F4,F4,RAT,R9,incorrect,42.562636899994686,uitstapje,17.287201099999947,1,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
6,F,F1,F1,F1,RAT,R1,correct,42.328006700001424,date,8.931694600003539,7,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
6,F,F12,F12,F12,Insight,I7,incorrect,38.76526419998845,door jezus te zijn,34.88836260000244,7,20,X,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,a42eef32-5ce2-48b7-a048-d13d3c4083ea
