block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU1,DFU1,DFU1,RAT,R2,correct,44.760296099993866,nederlqnd,18.675339900015388,3,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
1,DFU,DFU8,DFU8,DFU8,Insight,I11,incorrect,49.888263100001495,een cijfer,60.36643650001497,7,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
1,DFU,DFU9,DFU9,DFU9,RAT,R9,correct,32.08812489997945,ontbijt,9.730589300015708,1,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
1,DFU,DFU11,DFU11,DFU11,RAT,R10,correct,51.5358917999838,hondenschool,14.951802299998235,7,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
2,F,F1,F1,F1,RAT,R8,correct,29.93837370001711,vuur,12.679196799988858,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
2,F,F5,F5,F5,Insight,I8,correct,37.01522020000266,Hem > Hij > Ruben > Marit,83.65210619999561,1,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
2,F,F9,F9,F9,Insight,I10,correct,42.47484379998059,tel tot 60 en drqqi de 7 minuut zandloper 2 keer,68.5787581000186,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
2,F,F10,F10,F10,RAT,R4,correct,43.54133750000619,nqtuur,16.720183299999917,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
3,F,F3,F3,F3,Insight,I1,correct,38.90615059999982,No Response,0.01713640001253225,7,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
3,F,F11,F11,F11,Insight,I5,correct,38.0263655000017,de wc vqn een vliegtuig,21.823603099997854,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
3,F,F6,F6,F6,RAT,R1,correct,27.45722830001614,No Response,0.021842700021807104,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
3,F,F8,F8,F8,Insight,I12,incorrect,23.984382700000424,computer,44.19373070000438,7,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
4,DFU,DFU7,DFU7,DFU7,Insight,I7,correct,26.27460050000809,bevroren,15.796786599996267,7,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
4,DFU,DFU12,DFU12,DFU12,RAT,R12,correct,54.327961500006495,vuurkorf,16.183457600011025,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,a78c4564-8cf5-4f36-9ec6-5dee248b0510
