block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU4,DFU4,DFU4,Insight,I3,correct,38.46383969997987,een hart,24.30878419999499,1,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
1,DFU,DFU9,DFU9,DFU9,Insight,I8,correct,47.45906490000198,Coach>Hem>Ruben>Marit,90.27372940001078,4,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
1,DFU,DFU11,DFU11,DFU11,Insight,I9,correct,44.65383890000521,Omdat de dtails niet klopten,58.324087899993174,4,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
1,DFU,DFU7,DFU7,DFU7,RAT,R11,correct,36.68150959999184,dokter,15.83386369998334,4,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
2,F,F1,F1,F1,Insight,I10,incorrect,50.319383299996844,2 zandlopers op het zelfde moment laten lopen en dan opnieuw die van 11 o;drqqien na 7 minuten,114.51481980000972,4,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
2,F,F8,F8,F8,RAT,R6,incorrect,59.15259149999474,douche,20.009327000007033,7,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
2,F,F5,F5,F5,Insight,I11,incorrect,42.8497434000019,de zon,21.987660400016466,1,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
2,F,F9,F9,F9,Insight,I6,correct,39.175084199989215,hij kqn braille,22.072149799991166,4,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
3,DFU,DFU2,DFU2,DFU2,Insight,I1,correct,33.3661274999904,hij stond op het onderste trapje,31.078052700002445,4,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
3,DFU,DFU1,DFU1,DFU1,Insight,I12,correct,28.910914200008847,lucht,22.353252200002316,7,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
3,DFU,DFU5,DFU5,DFU5,RAT,R3,correct,34.60796730002039,driller,13.197204299998702,4,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
3,DFU,DFU8,DFU8,DFU8,RAT,R7,correct,64.95826370001305,No Response,0.023246799974003807,4,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
4,F,F6,F6,F6,Insight,I7,correct,32.89612620000844,jezus zijn,15.43538539999281,4,18,Man,TSO/dubbele finaliteit,2-3 uren,Boven gemiddeld,cb311271-6071-4823-ae1d-1104aa131ce3
