block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F3,F3,F3,Insight,I8,correct,55.55099199997494,"coach>hem>ruben
>marit",97.48098500003107,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
1,F,F11,F11,F11,RAT,R5,correct,41.344810399983544,/,20.012186600011773,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
1,F,F9,F9,F9,Insight,I4,correct,32.960024199972395,m,24.187055899994448,6,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
1,F,F12,F12,F12,RAT,R3,correct,39.47280720004346,/,20.002118000003975,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
2,F,F7,F7,F7,RAT,R10,correct,36.73864930000855,auto,20.00103520002449,4,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
2,F,F1,F1,F1,RAT,R8,correct,56.47397329995874,No Response,0.01420119998510927,5,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
2,F,F10,F10,F10,Insight,I1,correct,34.68042260000948,er  staat niet of de ladder 12 hoog staat tegen een muur\,100.08102729998063,4,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
2,F,F4,F4,F4,Insight,I7,correct,28.689018499979284,loop langs de basis en dan langs de hoogte,86.69997730001342,4,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
3,DFU,DFU6,DFU6,DFU6,RAT,R7,correct,41.053314200020395,hout,9.942333499959204,6,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
3,DFU,DFU1,DFU1,DFU1,Insight,I10,incorrect,29.780215199978556,No Response,120.01113930001156,1,19,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,1e31c737-d472-4460-a0c0-1f46911f31af
