block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU5,DFU5,DFU5,RAT,R7,incorrect,80.3071071,blad,20.005159,4,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
1,DFU,DFU12,DFU12,DFU12,RAT,R12,correct,83.2053428,mijnwerker,13.8222443,4,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
1,DFU,DFU6,DFU6,DFU6,Insight,I11,correct,71.8738108,de temperatuur,56.4973026,6,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
1,DFU,DFU4,DFU4,DFU4,RAT,R6,incorrect,38.0277636,schuiven,18.2650156,7,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
2,F,F2,F2,F2,Insight,I10,correct,28.3089444,No Response,120.0120909,4,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
2,F,F10,F10,F10,RAT,R4,correct,46.1875369,domino,13.265796,3,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
2,F,F7,F7,F7,Insight,I4,correct,37.8720543,de letter m,23.8567306,6,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
2,F,F8,F8,F8,RAT,R11,incorrect,30.9520112,politie,9.5332103,7,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
3,F,F5,F5,F5,Insight,I5,correct,23.6856401,de zon,37.6376508,3,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
3,F,F4,F4,F4,RAT,R1,incorrect,30.5854399,feest,10.3523876,6,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,046dc4dc-a5c8-45b1-bf8d-f0ba0afca39b
