block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F1,F1,F1,Insight,I2,incorrect,57.49187929998152,open vlakte,104.41900679998798,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
1,F,F5,F5,F5,RAT,R10,correct,54.608114799979376,lucht,18.58892469998682,4,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
1,F,F9,F9,F9,RAT,R9,correct,61.03203810000559,brood,10.64241430000402,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
1,F,F7,F7,F7,RAT,R7,incorrect,52.97436110000126,boek,8.768802300008247,4,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
2,F,F11,F11,F11,Insight,I10,correct,44.79934360002517,door de beide zandlopers tegelijk o; te draaien en wachten tot de 11 vol is,117.67985899999621,4,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
2,F,F4,F4,F4,Insight,I7,correct,31.68132579998928,snel lopen,33.66868420000537,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
2,F,F12,F12,F12,RAT,R6,correct,33.81599860001006,deur,11.221242800005712,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
2,F,F6,F6,F6,Insight,I4,correct,23.306130999990273,de letter m,15.670932300010463,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
3,DFU,DFU5,DFU5,DFU5,RAT,R3,correct,28.068889199988917,sneeuw,19.66769299999578,4,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
3,DFU,DFU3,DFU3,DFU3,RAT,R8,correct,36.523692999995546,r,20.010738400014816,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
3,DFU,DFU7,DFU7,DFU7,RAT,R11,correct,27.296514000016032,No Response,20.01635379999061,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
3,DFU,DFU2,DFU2,DFU2,RAT,R1,correct,19.870636100007687,nachtleven,17.233005300018704,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
4,F,F8,F8,F8,Insight,I12,incorrect,32.01033409999218,bacterie\,41.89952360000461,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
4,F,F10,F10,F10,Insight,I5,correct,52.12312170001678,wereldbol,17.584291699982714,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
4,F,F2,F2,F2,RAT,R5,correct,41.86204009997891,goud,12.436550900019938,4,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
4,F,F3,F3,F3,RAT,R12,incorrect,25.05533450000803,steen,7.620456899981946,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
5,DFU,DFU11,DFU11,DFU11,Insight,I6,correct,29.72526210002252,hij is blind en gebruikt braille,19.553698400006397,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
5,DFU,DFU6,DFU6,DFU6,Insight,I8,correct,37.13791869999841,coach>hem>Ruben> Marit,84.72115510000731,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
5,DFU,DFU8,DFU8,DFU8,RAT,R4,correct,31.945029900001828,groen,16.604064500017557,2,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
5,DFU,DFU1,DFU1,DFU1,Insight,I1,correct,23.218694700015476,de ladder stond nog niet in de lucht,41.74971580001875,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
6,DFU,DFU9,DFU9,DFU9,RAT,R2,correct,17.25999530000263,blo,20.01545070001157,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
6,DFU,DFU4,DFU4,DFU4,Insight,I3,correct,28.439918899995973,een belofte,15.74482550000539,7,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
6,DFU,DFU10,DFU10,DFU10,Insight,I11,correct,49.21240449999459,lift,20.76933770001051,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
6,DFU,DFU12,DFU12,DFU12,Insight,I9,correct,46.74683640000876,toen was er nog geen sprake van keizers,33.21461339999223,1,17,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Boven gemiddeld,b93b9011-bbcb-4a75-8878-7ab56d7b87b2
