block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU5,DFU5,DFU5,RAT,R6,correct,56.89345329999924,bar,15.637249800027348,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2309db63-c5aa-40a0-b691-193c1351ca02
1,DFU,DFU12,DFU12,DFU12,RAT,R12,incorrect,-22.202598299947567,vang,20.00621880008839,5,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2309db63-c5aa-40a0-b691-193c1351ca02
1,DFU,DFU10,DFU10,DFU10,Insight,I4,incorrect,44.364539300091565,No Response,0.016302899923175573,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2309db63-c5aa-40a0-b691-193c1351ca02
1,DFU,DFU1,DFU1,DFU1,Insight,I12,correct,27.01069720007945,vuur,34.45584000006784,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2309db63-c5aa-40a0-b691-193c1351ca02
2,F,F10,F10,F10,Insight,I7,incorrect,46.81907299999148,wanneer het bevroren is,25.399566299980506,3,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2309db63-c5aa-40a0-b691-193c1351ca02
2,F,F8,F8,F8,RAT,R10,incorrect,44.09812310000416,auto,18.585703600081615,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2309db63-c5aa-40a0-b691-193c1351ca02
2,F,F5,F5,F5,Insight,I3,correct,30.322953899973072,tak,22.656946000060998,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2309db63-c5aa-40a0-b691-193c1351ca02
2,F,F11,F11,F11,Insight,I8,correct,34.81650149996858,"Coach
>Hem>Ruben>Marit",103.43504140002187,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2309db63-c5aa-40a0-b691-193c1351ca02
3,DFU,DFU11,DFU11,DFU11,RAT,R7,incorrect,24.802174900076352,huis,16.064308800036088,6,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2309db63-c5aa-40a0-b691-193c1351ca02
3,DFU,DFU2,DFU2,DFU2,RAT,R8,correct,20.756005099974573,damp,12.869671599939466,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Gemiddeld,2309db63-c5aa-40a0-b691-193c1351ca02
