block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU10,DFU10,DFU10,RAT,R4,incorrect,44.8496163,kleur,14.2353994,3,22,Man,BSO/arbeidsmarktfinaliteit,0-1 uur,Gemiddeld,bb77a64e-d07e-4902-a806-f7b230b07de3
1,DFU,DFU7,DFU7,DFU7,Insight,I11,incorrect,31.8251012,temperatuur wss,15.4746614,2,22,Man,BSO/arbeidsmarktfinaliteit,0-1 uur,Gemiddeld,bb77a64e-d07e-4902-a806-f7b230b07de3
1,DFU,DFU3,DFU3,DFU3,RAT,R6,correct,35.2432116,ziten,19.252797,6,22,Man,BSO/arbeidsmarktfinaliteit,0-1 uur,Gemiddeld,bb77a64e-d07e-4902-a806-f7b230b07de3
1,DFU,DFU12,DFU12,DFU12,RAT,R10,incorrect,48.6725372,vriendscha,20.009272,5,22,Man,BSO/arbeidsmarktfinaliteit,0-1 uur,Gemiddeld,bb77a64e-d07e-4902-a806-f7b230b07de3
2,DFU,DFU6,DFU6,DFU6,RAT,R12,correct,29.9905883,kolen,13.1030576,5,22,Man,BSO/arbeidsmarktfinaliteit,0-1 uur,Gemiddeld,bb77a64e-d07e-4902-a806-f7b230b07de3
2,DFU,DFU4,DFU4,DFU4,Insight,I12,correct,49.7086058,plant,65.8292433,5,22,Man,BSO/arbeidsmarktfinaliteit,0-1 uur,Gemiddeld,bb77a64e-d07e-4902-a806-f7b230b07de3
2,DFU,DFU9,DFU9,DFU9,RAT,R8,correct,32.8694715,huis,11.6706533,3,22,Man,BSO/arbeidsmarktfinaliteit,0-1 uur,Gemiddeld,bb77a64e-d07e-4902-a806-f7b230b07de3
2,DFU,DFU8,DFU8,DFU8,Insight,I3,correct,36.9831128,u hart,11.9722059,2,22,Man,BSO/arbeidsmarktfinaliteit,0-1 uur,Gemiddeld,bb77a64e-d07e-4902-a806-f7b230b07de3
3,F,F1,F1,F1,RAT,R9,correct,38.3030238,lunch,7.1355118,3,22,Man,BSO/arbeidsmarktfinaliteit,0-1 uur,Gemiddeld,bb77a64e-d07e-4902-a806-f7b230b07de3
3,F,F12,F12,F12,RAT,R3,correct,36.5908734,No Response,20.0009614,2,22,Man,BSO/arbeidsmarktfinaliteit,0-1 uur,Gemiddeld,bb77a64e-d07e-4902-a806-f7b230b07de3
