block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU8,DFU8,DFU8,Insight,I12,incorrect,41.008383,vuur,20.5598102,2,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
1,DFU,DFU4,DFU4,DFU4,Insight,I8,incorrect,55.6916142,"ruben >Marit>hij>
coach>",92.7724053,7,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
1,DFU,DFU2,DFU2,DFU2,RAT,R2,incorrect,65.2176889,boerderij,10.8673893,6,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
1,DFU,DFU6,DFU6,DFU6,RAT,R6,incorrect,51.2071396,bureau,13.9988739,4,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
2,DFU,DFU11,DFU11,DFU11,Insight,I4,correct,36.8194068,de letter m,11.5563672,1,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
2,DFU,DFU1,DFU1,DFU1,RAT,R1,correct,25.8883009,galabal,9.7339354,2,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
2,DFU,DFU5,DFU5,DFU5,Insight,I5,correct,28.1247431,sateliet,78.8799204,6,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
2,DFU,DFU12,DFU12,DFU12,Insight,I7,incorrect,34.9227579,als het meer bevroren is,23.7224816,3,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
3,DFU,DFU10,DFU10,DFU10,RAT,R8,incorrect,33.0999604,watertoren,15.7690164,6,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
3,DFU,DFU7,DFU7,DFU7,RAT,R11,correct,31.4223151,"afkic
kcentrum",18.5724426,4,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
3,DFU,DFU3,DFU3,DFU3,RAT,R12,correct,24.9153994,huis,17.0399268,6,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
3,DFU,DFU9,DFU9,DFU9,Insight,I6,correct,23.643896,de man is aan het lezen maar in zijn droom,21.6862676,2,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
4,F,F5,F5,F5,Insight,I10,correct,33.2383343,je neemt de 11 minuten en de helft van de 7 minuten en telt er nog een paar seconden bij,55.1843641,4,18,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,2c98dcaa-c6b3-404d-8cb1-0f07bd1463c5
