block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F7,F7,F7,Insight,I2,correct,49.3106463,niks?,110.0220451,7,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
1,F,F12,F12,F12,Insight,I3,correct,44.9893674,hart,11.0733378,2,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
1,F,F1,F1,F1,RAT,R3,correct,32.5144511,sneeuw,17.4194329,5,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
1,F,F9,F9,F9,Insight,I7,correct,26.4351123,als het meer leeg is,19.6013901,6,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
2,DFU,DFU2,DFU2,DFU2,RAT,R10,incorrect,46.037839,"lijband
\",16.8364416,1,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
2,DFU,DFU5,DFU5,DFU5,Insight,I6,correct,36.1276278,leest in eigen hoofd,16.629282,2,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
2,DFU,DFU12,DFU12,DFU12,RAT,R7,correct,32.9402645,hout,20.0038041,2,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
2,DFU,DFU7,DFU7,DFU7,Insight,I9,correct,39.6879563,geen keizers  544 vc,48.0623962,6,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
3,DFU,DFU11,DFU11,DFU11,RAT,R4,correct,28.3546667,water,7.9216156,1,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
3,DFU,DFU6,DFU6,DFU6,RAT,R8,correct,41.4883735,regen,11.318609,4,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
3,DFU,DFU4,DFU4,DFU4,Insight,I1,correct,34.2306254,hij hangt vast aan een touw,72.3965191,7,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
3,DFU,DFU9,DFU9,DFU9,Insight,I8,correct,23.682394,Marit<Ruben<Hij<Hem,102.3155125,6,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
4,F,F3,F3,F3,Insight,I11,correct,29.4932785,temperatuur,15.338263,1,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
4,F,F4,F4,F4,RAT,R2,correct,48.8725223,wei,19.930667,3,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
4,F,F5,F5,F5,RAT,R6,correct,47.3227252,No Response,20.0004358,2,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
4,F,F2,F2,F2,RAT,R5,correct,32.2344202,goud,8.2230211,2,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
5,DFU,DFU10,DFU10,DFU10,RAT,R9,correct,32.511554,vlees,17.0702795,3,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
5,DFU,DFU1,DFU1,DFU1,RAT,R12,correct,24.1155231,No Response,20.0033985,7,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
5,DFU,DFU8,DFU8,DFU8,Insight,I10,correct,34.313307,je laat die van 11 min  en dan nog eens  maar met die van 7min,52.0088078,3,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
5,DFU,DFU3,DFU3,DFU3,Insight,I4,correct,22.1377124,No Response,119.796194,2,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
6,F,F6,F6,F6,Insight,I5,correct,37.70591,geld,73.2879721,2,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
6,F,F10,F10,F10,RAT,R1,correct,31.4094284,bier,16.2018338,3,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
6,F,F11,F11,F11,RAT,R11,correct,30.9897387,schaal,17.0727954,1,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
6,F,F8,F8,F8,Insight,I12,correct,20.0903946,No Response,79.7993133,2,19,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Gemiddeld,87ffb056-1cf2-4a87-8c7f-76534e0507ba
