block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU4,DFU4,DFU4,Insight,I8,correct,73.4199562,ruben marit coach,120.0123053,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
1,DFU,DFU2,DFU2,DFU2,RAT,R6,incorrect,-38.136364,bure,20.0059338,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
1,DFU,DFU12,DFU12,DFU12,Insight,I12,incorrect,-34.9429778,een plant,45.0696776,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
1,DFU,DFU6,DFU6,DFU6,RAT,R3,correct,34.5617511,assecoire,15.6681046,1,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
2,DFU,DFU9,DFU9,DFU9,RAT,R9,correct,29.6138107,chirurg,15.7850946,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
2,DFU,DFU3,DFU3,DFU3,Insight,I5,correct,29.2965414,lucht,61.6693755,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
2,DFU,DFU8,DFU8,DFU8,Insight,I10,incorrect,48.716911,Je telt dubbel met de andloper,108.5448859,6,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
2,DFU,DFU10,DFU10,DFU10,RAT,R12,incorrect,51.6641794,openhaart,19.0508437,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
3,F,F8,F8,F8,RAT,R10,correct,45.1991917,enthousias,20.0135387,7,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
3,F,F12,F12,F12,RAT,R1,correct,40.9902478,bier,9.0048835,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
3,F,F9,F9,F9,Insight,I1,correct,39.4238916,Hij valt  op zijn handpalm en voetzool.,60.1858201,4,18,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Hoog,fe393a61-6fbc-465e-91f2-c2bf05aab010
