block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F1,F1,F1,Insight,I8,correct,63.6491521,Hem>HijRuben>Marit,120.0037398,6,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
1,F,F2,F2,F2,RAT,R11,correct,55.6451988,data,20.0008613,2,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
1,F,F6,F6,F6,RAT,R4,correct,62.6905058,natuur,12.0954809,2,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
1,F,F9,F9,F9,Insight,I2,correct,41.2387519,geurbaniseerde/industrieel ingerichte steden,47.486547,1,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
2,DFU,DFU6,DFU6,DFU6,RAT,R3,correct,51.2211111,materiaal,19.0502968,3,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
2,DFU,DFU4,DFU4,DFU4,RAT,R2,correct,58.0285973,franse platteland,14.5889547,5,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
2,DFU,DFU5,DFU5,DFU5,Insight,I9,correct,43.7601842,"het jaartal was niet logisch, want is before crist",49.4952154,3,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
2,DFU,DFU7,DFU7,DFU7,RAT,R7,correct,31.2362699,verrot hout,16.4539905,5,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
3,F,F11,F11,F11,RAT,R5,correct,37.6530067,vismarkt\,19.1680848,1,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
3,F,F8,F8,F8,RAT,R6,incorrect,67.9449603,vallen,15.0839265,3,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
3,F,F10,F10,F10,Insight,I10,correct,61.0417277,"je laat de zandloper van 11 minuten lopen, dan die van 7 tot de helft",120.0157251,5,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
3,F,F3,F3,F3,Insight,I11,correct,63.3804236,je gemoedstoestand,59.0762761,2,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
4,DFU,DFU3,DFU3,DFU3,Insight,I3,correct,38.6740984,een hart,28.7025104,4,19,Vrouw,ASO/doorstroomfinaliteit,3-4 uren,Boven gemiddeld,00fcc642-3bd9-4bfe-9967-92761f9c7613
