block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F2,F2,F2,Insight,I5,incorrect,49.4065324,Zuurstof,46.7339429,2,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
1,F,F4,F4,F4,RAT,R8,incorrect,56.5802229,No Response,0.0178604,3,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
1,F,F6,F6,F6,RAT,R6,correct,53.8620172,keuken,19.1953888,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
1,F,F12,F12,F12,Insight,I6,correct,40.1347851,hij kan zien in het donker,27.7682349,5,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
2,DFU,DFU2,DFU2,DFU2,Insight,I11,correct,20.9168167,temperatuur,67.8380552,5,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
2,DFU,DFU9,DFU9,DFU9,Insight,I9,correct,24.7220121,men telde voor christus de jaartallen niet,81.207363,5,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
2,DFU,DFU11,DFU11,DFU11,RAT,R7,correct,33.1000531,bibliotheek,11.7866988,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
2,DFU,DFU3,DFU3,DFU3,RAT,R12,correct,26.3715741,moestuin,9.9670626,5,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
3,DFU,DFU6,DFU6,DFU6,RAT,R11,correct,32.6398047,weegschaal,16.4842982,3,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
3,DFU,DFU12,DFU12,DFU12,Insight,I10,incorrect,47.8091943,De 11 zandloper omdraaien als 7 gedaan is,85.6631506,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
3,DFU,DFU7,DFU7,DFU7,RAT,R3,correct,27.8351226,No Response,0.0161057,6,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
3,DFU,DFU1,DFU1,DFU1,RAT,R1,correct,21.6172843,trouwfeest,18.8193761,3,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
4,F,F3,F3,F3,Insight,I3,incorrect,34.1520596,een hart,8.8496725,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
4,F,F10,F10,F10,RAT,R10,correct,47.8967838,dierenarts,15.3820993,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
4,F,F5,F5,F5,Insight,I8,correct,32.1436345,Coach > Hem > Ruben  > Marit,120.0051323,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
4,F,F8,F8,F8,RAT,R9,incorrect,30.3750385,lunchpauze,10.6708527,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
5,DFU,DFU4,DFU4,DFU4,RAT,R4,correct,33.6476507,tuin,16.0348469,2,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
5,DFU,DFU8,DFU8,DFU8,Insight,I4,correct,23.0345873,m,66.1881087,3,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
5,DFU,DFU10,DFU10,DFU10,Insight,I2,incorrect,26.6619636,een kaart/plattegrond,83.6715819,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
5,DFU,DFU5,DFU5,DFU5,Insight,I7,correct,31.0107134,de oppervlakte van het meer meten en die afstand lopen,86.2811745,7,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
6,F,F9,F9,F9,Insight,I12,incorrect,25.5917401,vuur,26.4608912,3,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
6,F,F7,F7,F7,RAT,R2,incorrect,40.7293111,nederland,13.997477,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
6,F,F1,F1,F1,Insight,I1,incorrect,40.6235584,hij hing vast met een katrol systeem,33.4356616,4,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
6,F,F11,F11,F11,RAT,R5,correct,34.706515,goud,7.6989719,3,18,Vrouw,ASO/doorstroomfinaliteit,2-3 uren,Hoog,76827569-4bb5-4f70-9615-06ee9b95f38f
