block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU12,DFU12,DFU12,RAT,R1,correct,65.7098279,cafe,20.0045717,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,af7b51eb-0e25-4609-81bd-3f5d9d0bd8f0
1,DFU,DFU6,DFU6,DFU6,RAT,R4,correct,68.6575554,No Response,20.0050945,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,af7b51eb-0e25-4609-81bd-3f5d9d0bd8f0
1,DFU,DFU4,DFU4,DFU4,RAT,R9,correct,57.4822317,boterhwqmmen,14.3729632,7,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,af7b51eb-0e25-4609-81bd-3f5d9d0bd8f0
1,DFU,DFU5,DFU5,DFU5,Insight,I6,correct,55.7914271,als hij daar al lang zit kunnen zijn ogen aangepast zijn.,67.8704899,6,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,af7b51eb-0e25-4609-81bd-3f5d9d0bd8f0
2,F,F4,F4,F4,RAT,R3,correct,44.5302055,sneeuw,12.9862604,5,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,af7b51eb-0e25-4609-81bd-3f5d9d0bd8f0
2,F,F8,F8,F8,RAT,R10,incorrect,49.0946438,hondenspeeltje,13.684466,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,af7b51eb-0e25-4609-81bd-3f5d9d0bd8f0
2,F,F12,F12,F12,RAT,R5,incorrect,51.8349371,No Response,17.7043702,3,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,af7b51eb-0e25-4609-81bd-3f5d9d0bd8f0
2,F,F2,F2,F2,Insight,I9,correct,50.4504649,In 544 vC waren er nog geen keizers,72.3564886,5,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,af7b51eb-0e25-4609-81bd-3f5d9d0bd8f0
3,F,F3,F3,F3,RAT,R12,correct,56.6543829,boerderij,15.1530183,5,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,af7b51eb-0e25-4609-81bd-3f5d9d0bd8f0
3,F,F11,F11,F11,RAT,R2,correct,56.2261108,Nederland,16.0875167,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Gemiddeld,af7b51eb-0e25-4609-81bd-3f5d9d0bd8f0
