block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU12,DFU12,DFU12,RAT,R4,correct,40.1216729,natuur,18.7202161,4,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
1,DFU,DFU4,DFU4,DFU4,Insight,I6,correct,57.4074567,Hij is de donkerte gewoon,30.1055344,4,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
1,DFU,DFU3,DFU3,DFU3,RAT,R6,correct,52.1033652,bar,12.3587133,1,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
1,DFU,DFU1,DFU1,DFU1,Insight,I9,correct,37.5839655,omdater nog geen geld bestond voor christus,37.1461994,3,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
2,F,F5,F5,F5,Insight,I12,incorrect,37.9402139,een toestel,44.5872568,4,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
2,F,F2,F2,F2,RAT,R10,incorrect,32.3935671,hondenpqark,20.0172196,1,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
2,F,F10,F10,F10,Insight,I4,correct,40.0384911,de letter M,15.790074,4,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
2,F,F8,F8,F8,RAT,R7,incorrect,22.8280039,No Response,20.0132264,7,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
3,F,F9,F9,F9,RAT,R1,correct,45.0901162,Galabal,13.2225483,7,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
3,F,F3,F3,F3,RAT,R11,incorrect,41.6291479,fitness,14.973028,1,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
3,F,F7,F7,F7,RAT,R9,correct,30.6276353,lunch,9.4558576,4,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
3,F,F12,F12,F12,Insight,I3,correct,26.9016221,een  hart,23.1553518,1,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
4,DFU,DFU2,DFU2,DFU2,Insight,I7,correct,47.5462184,als het meer bevroren is,18.4401626,5,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
4,DFU,DFU8,DFU8,DFU8,Insight,I2,incorrect,20.5559928,geen idee,30.167379,4,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
4,DFU,DFU11,DFU11,DFU11,RAT,R12,correct,41.9421692,kerstman,12.7710998,3,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
4,DFU,DFU9,DFU9,DFU9,RAT,R3,correct,34.4188697,No Response,10.5708582,1,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
5,DFU,DFU6,DFU6,DFU6,Insight,I1,incorrect,28.1115939,hij valt van de eerste trede,25.5863555,5,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
5,DFU,DFU5,DFU5,DFU5,RAT,R8,correct,35.0210688,vuur,20.0024932,1,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
5,DFU,DFU10,DFU10,DFU10,Insight,I11,incorrect,38.2186631,temperatuur,18.1878345,5,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
5,DFU,DFU7,DFU7,DFU7,RAT,R2,incorrect,17.4966226,nederlandse boer,12.6016719,1,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
6,F,F11,F11,F11,Insight,I5,correct,38.6542615,Noordpool,32.1348364,4,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
6,F,F4,F4,F4,RAT,R5,correct,33.2396592,goudvis,10.6993567,4,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
6,F,F1,F1,F1,Insight,I10,correct,31.1646443,2x de zandloper van 7 min gebruiken en daarna  minuut laten lopen op die van 11,94.952967,4,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
6,F,F6,F6,F6,Insight,I8,incorrect,22.5186687,Coach>Hem>Marit>Ruben,47.1625431,5,18,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0ba5bce4-792f-4d4e-b5e3-f9f7f5624683
