block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU10,DFU10,DFU10,RAT,R12,correct,43.9465874,mijn,16.565189,3,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
1,DFU,DFU12,DFU12,DFU12,RAT,R7,correct,45.8893663,grond,15.7300707,3,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
1,DFU,DFU6,DFU6,DFU6,Insight,I6,correct,40.2287944,"het kan zijn dat hij een passage of een vers probeert te lezen die hem al bekend is, waardoor hij de woorden niet per 
se moet waarnemen",110.3105709,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
1,DFU,DFU4,DFU4,DFU4,Insight,I10,correct,33.306273,"kijken naar de ratio van zand dat aan de onderkant van elke zandloper zit en zo (1 gebruikend na de ander) een idee krijgen van 
de tijd",108.549312,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
2,F,F4,F4,F4,RAT,R10,correct,32.1231774,wandelen,14.8371037,3,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
2,F,F6,F6,F6,RAT,R3,correct,24.5942552,kledij,16.9490575,5,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
2,F,F9,F9,F9,RAT,R8,correct,29.5297704,stoom,20.0037958,5,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
2,F,F7,F7,F7,RAT,R11,incorrect,29.6280189,kracht,13.1387486,5,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
3,DFU,DFU1,DFU1,DFU1,RAT,R6,correct,25.0613478,interieur,19.438726,6,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
3,DFU,DFU7,DFU7,DFU7,RAT,R2,correct,27.7047622,Italie,9.4558539,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
3,DFU,DFU2,DFU2,DFU2,Insight,I4,correct,25.5302179,m,25.570085,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
3,DFU,DFU9,DFU9,DFU9,RAT,R9,correct,29.5160223,koken,19.7019297,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
4,F,F12,F12,F12,Insight,I12,correct,34.0835184,vuur,30.6883439,3,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Boven gemiddeld,2332fe71-d2dc-484a-a329-48323016b0f8
