block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU9,DFU9,DFU9,Insight,I2,correct,79.6256802,Een verwoest landschap,119.0505958,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
1,DFU,DFU1,DFU1,DFU1,RAT,R11,correct,61.018871,dieet,20.0132481,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
1,DFU,DFU11,DFU11,DFU11,Insight,I4,correct,72.515842,/,110.3016119,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
1,DFU,DFU6,DFU6,DFU6,RAT,R5,correct,71.9203253,fishtick,20.0101753,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
2,F,F3,F3,F3,RAT,R2,correct,81.2665279,Boerderij,12.4048904,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
2,F,F11,F11,F11,RAT,R7,correct,45.1894475,/,17.2342868,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
2,F,F6,F6,F6,RAT,R9,correct,45.7194729,broodtrommel,11.0723546,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
2,F,F2,F2,F2,RAT,R3,correct,48.4511291,/,16.6883678,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
3,DFU,DFU2,DFU2,DFU2,RAT,R8,correct,40.4768562,dak,11.1330947,6,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
3,DFU,DFU10,DFU10,DFU10,Insight,I7,correct,46.1410517,Niet,55.6191679,5,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
3,DFU,DFU5,DFU5,DFU5,RAT,R6,correct,38.6902282,/,20.0008765,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
3,DFU,DFU7,DFU7,DFU7,RAT,R10,correct,53.6254873,No Response,20.0142387,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
4,F,F9,F9,F9,Insight,I1,correct,51.6253882,Iemand ving hem opof iets heeft zijn val gebroken voor hij op de grond terecht kwam,51.0527258,1,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
4,F,F8,F8,F8,RAT,R12,correct,29.4384556,/,10.8656821,1,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
4,F,F10,F10,F10,Insight,I8,correct,33.3273439,Marit > Ruben> c,120.0080085,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
4,F,F1,F1,F1,Insight,I10,correct,51.7506718,/,24.2201899,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
5,DFU,DFU3,DFU3,DFU3,Insight,I12,correct,36.0372731,vuur,57.7486953,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
5,DFU,DFU4,DFU4,DFU4,RAT,R1,correct,41.4892499,barvrouw,16.8383252,5,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
5,DFU,DFU8,DFU8,DFU8,Insight,I11,correct,37.9934492,De weegschaal,85.7208087,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
5,DFU,DFU12,DFU12,DFU12,Insight,I6,correct,45.3703031,Hij leest zijn gedachten voor,58.5862354,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
6,F,F7,F7,F7,Insight,I5,correct,33.0616132,/,28.8226958,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
6,F,F12,F12,F12,Insight,I9,correct,22.9899687,/,24.7756673,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
6,F,F4,F4,F4,RAT,R4,correct,22.927647,/,11.9072224,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
6,F,F5,F5,F5,Insight,I3,correct,23.4032326,Je hart,10.2903402,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,70571777-c8e7-4007-8771-8fbb9a20340c
