block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU4,DFU4,DFU4,Insight,I4,correct,48.6769963,de letter m,18.9881148,2,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
1,DFU,DFU1,DFU1,DFU1,RAT,R8,incorrect,44.4538611,No Response,20.0002247,7,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
1,DFU,DFU3,DFU3,DFU3,Insight,I8,correct,68.6921325,marit>ruben>coah,120.0024716,7,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
1,DFU,DFU12,DFU12,DFU12,RAT,R7,correct,45.3145879,No Response,20.0166522,7,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
2,DFU,DFU7,DFU7,DFU7,RAT,R11,correct,25.6271547,Weegschaal,16.4223866,4,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
2,DFU,DFU8,DFU8,DFU8,Insight,I2,incorrect,32.3489225,"Een droom zonder huizen, bomen en rivieren.",99.1704865,6,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
2,DFU,DFU11,DFU11,DFU11,RAT,R10,correct,33.9381259,Poedel,19.372181,6,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
2,DFU,DFU6,DFU6,DFU6,RAT,R2,correct,31.6228025,Nederland,17.78491,3,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
3,F,F8,F8,F8,RAT,R9,incorrect,50.2298813,Kaas,18.5365429,5,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
3,F,F4,F4,F4,Insight,I1,incorrect,41.5610267,De ladder lag al op de grond.,48.7477501,2,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
3,F,F7,F7,F7,Insight,I5,incorrect,45.779208,Zon,97.1706005,5,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
3,F,F10,F10,F10,Insight,I3,correct,25.1171798,Hart,14.7219995,7,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
4,F,F5,F5,F5,RAT,R3,correct,30.5620341,Geen idee,20.0019889,5,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
4,F,F1,F1,F1,Insight,I10,correct,29.5115943,No Response,0.0109952,6,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
4,F,F11,F11,F11,RAT,R4,correct,21.6393193,"Bloe,",20.0057659,2,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
4,F,F3,F3,F3,Insight,I7,correct,36.9557364,Zonder luchtweerstand,52.9231153,5,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
5,F,F6,F6,F6,RAT,R12,correct,25.5625418,Zwaar,18.2724121,3,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
5,F,F2,F2,F2,RAT,R1,correct,25.0760638,Feest,13.9541896,3,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
5,F,F9,F9,F9,Insight,I11,incorrect,15.7791766,De zon,44.3402909,5,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
5,F,F12,F12,F12,RAT,R5,incorrect,14.5959134,Kanarie,17.4704423,5,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
6,DFU,DFU9,DFU9,DFU9,RAT,R6,incorrect,20.2092053,Yoga,20.0005249,6,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
6,DFU,DFU2,DFU2,DFU2,Insight,I9,correct,22.7283387,Munten waren in die tijd nog geen betaalmiddel.,82.3596114,6,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
6,DFU,DFU10,DFU10,DFU10,Insight,I6,incorrect,22.7769112,Braille,10.7877874,1,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
6,DFU,DFU5,DFU5,DFU5,Insight,I12,correct,23.6502636,Droogte,99.2199106,3,22,Man,ASO/doorstroomfinaliteit,2-3 uren,Gemiddeld,640532e6-e345-4407-a00d-76ad46c75ea8
