block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU1,DFU1,DFU1,RAT,R7,correct,79.5286653,houtwor;,20.0042079,4,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
1,DFU,DFU2,DFU2,DFU2,Insight,I7,correct,66.0419364,als het uitgedroogd is,40.7797208,4,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
1,DFU,DFU4,DFU4,DFU4,Insight,I6,correct,55.6968573,"hij is blind en leest br
aille",28.8768736,1,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
1,DFU,DFU5,DFU5,DFU5,RAT,R10,correct,66.6768329,p,20.00272,4,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
2,F,F3,F3,F3,Insight,I4,incorrect,36.0129147,de letter m,27.4518467,4,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
2,F,F7,F7,F7,RAT,R8,correct,86.1933533,damp,20.0138453,4,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
2,F,F10,F10,F10,RAT,R11,correct,72.7627917,No Response,0.0123971,4,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
2,F,F8,F8,F8,RAT,R9,incorrect,52.655103,brooddoos,16.9225719,4,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
3,DFU,DFU12,DFU12,DFU12,Insight,I9,correct,55.5728208,het romeinse rijk was al gevallen in 544vc,75.1709898,5,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
3,DFU,DFU8,DFU8,DFU8,Insight,I3,incorrect,74.7851214,je hart,15.1862483,1,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
3,DFU,DFU10,DFU10,DFU10,RAT,R5,correct,40.74125,vis;ijn,20.0165739,1,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
3,DFU,DFU9,DFU9,DFU9,RAT,R6,correct,43.1448831,rugleuning,14.5689531,3,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
4,F,F9,F9,F9,Insight,I5,correct,74.8061759,de maan,27.5170967,5,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
4,F,F2,F2,F2,Insight,I10,correct,51.5424332,je draait ze beide en doet de eieren er in als 7leeg is en 11 op[n,120.0093366,4,18,Man,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,79af173b-b7d8-4ec4-940a-d3943f6c9112
