block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,F,F5,F5,F5,RAT,R7,correct,36.3484649,hout,9.6001572,6,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
1,F,F11,F11,F11,RAT,R3,correct,75.3860627,sneeuw,12.923875,6,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
1,F,F6,F6,F6,RAT,R2,correct,40.3829283,boer,5.8646784,5,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
1,F,F2,F2,F2,Insight,I1,correct,50.2621175,hij stond niet hoog op de ladder,27.7473986,6,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
2,F,F7,F7,F7,RAT,R9,incorrect,46.1477515,brood,9.7655566,7,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
2,F,F10,F10,F10,RAT,R8,incorrect,42.1662953,pijp,12.6884179,7,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
2,F,F4,F4,F4,Insight,I12,correct,36.3718161,vuur,11.7624551,6,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
2,F,F1,F1,F1,Insight,I4,correct,32.6518017,de letter m,13.0215122,5,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
3,DFU,DFU6,DFU6,DFU6,Insight,I6,correct,25.0752501,hij leest  braille,16.463083,2,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
3,DFU,DFU1,DFU1,DFU1,Insight,I10,correct,24.0402556,geen idee,101.0815211,7,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
3,DFU,DFU3,DFU3,DFU3,RAT,R5,correct,24.6359421,boot,15.9522878,6,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
3,DFU,DFU4,DFU4,DFU4,RAT,R10,correct,22.9607616,speeltje,14.2827188,5,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
4,DFU,DFU7,DFU7,DFU7,RAT,R1,correct,21.6708092,overpoort,8.5056253,3,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
4,DFU,DFU5,DFU5,DFU5,Insight,I3,correct,30.1669391,een hart,7.2864541,1,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
4,DFU,DFU9,DFU9,DFU9,RAT,R11,correct,29.2927132,fitness,17.3390145,4,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
4,DFU,DFU10,DFU10,DFU10,Insight,I11,correct,32.4254251,de temperatuur,16.3051917,1,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
5,F,F12,F12,F12,Insight,I7,correct,20.5941654,door op iets te lopen dat op het meer drijft,51.3382976,4,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
5,F,F9,F9,F9,RAT,R6,correct,27.1774272,bar,15.5496448,4,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
5,F,F3,F3,F3,Insight,I8,correct,20.2425407,Coach>Hij>Ruben>Marit,98.9560309,5,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
5,F,F8,F8,F8,Insight,I2,incorrect,27.40826,een kaart,17.2670049,3,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
6,DFU,DFU12,DFU12,DFU12,RAT,R4,correct,47.5924785,tuin,14.3873751,2,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
6,DFU,DFU11,DFU11,DFU11,RAT,R12,correct,19.7406085,boerderij,13.3162191,5,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
6,DFU,DFU8,DFU8,DFU8,Insight,I9,correct,48.401686,omdat munten toen nog niet gebruikt werden,68.1568491,6,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
6,DFU,DFU2,DFU2,DFU2,Insight,I5,correct,24.4914674,de evenaar,36.884406,4,20,Man,ASO/doorstroomfinaliteit,4-5 uren,Hoog,ef5636e1-4105-4fd6-b1e8-d19995bad729
