block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU10,DFU10,DFU10,Insight,I4,correct,38.0266431,de letter m,14.3200497,3,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
1,DFU,DFU5,DFU5,DFU5,RAT,R7,correct,32.1823782,boeken,8.6150073,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
1,DFU,DFU8,DFU8,DFU8,Insight,I9,correct,35.4130702,brons was toen nog niet ontdekt,39.0246551,5,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
1,DFU,DFU7,DFU7,DFU7,Insight,I12,correct,23.1137494,vuur,43.8788773,2,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
2,DFU,DFU12,DFU12,DFU12,RAT,R8,incorrect,63.122206,damp?ro,20.0007388,2,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
2,DFU,DFU11,DFU11,DFU11,RAT,R2,correct,41.0482887,oud,20.0150899,6,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
2,DFU,DFU1,DFU1,DFU1,Insight,I11,correct,30.8582456,cijfers,72.7200187,6,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
2,DFU,DFU4,DFU4,DFU4,RAT,R11,correct,19.2116145,balans,11.0046219,3,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
3,F,F2,F2,F2,RAT,R9,correct,33.9551547,No Response,20.0062858,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
3,F,F7,F7,F7,Insight,I10,incorrect,30.2530553,& tzee,120.0124532,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
3,F,F4,F4,F4,RAT,R1,correct,34.6286392,zandloper,20.0042798,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
3,F,F8,F8,F8,RAT,R3,correct,53.3755419,sneeuw,10.6136709,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
4,F,F12,F12,F12,RAT,R4,incorrect,36.6901087,water,6.7017561,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
4,F,F5,F5,F5,Insight,I5,correct,40.1084966,sateliet ?,108.6476711,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
4,F,F3,F3,F3,Insight,I7,incorrect,40.9082451,als het meer bevroren is,29.4366489,6,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
4,F,F6,F6,F6,Insight,I1,correct,63.2170839,"hij zat vastgebonden met een to
uw voor de veiligheid",59.4655864,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
5,F,F10,F10,F10,Insight,I8,correct,71.301673,"Hem
>Hij>Ruben>Marit",113.3563248,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
5,F,F11,F11,F11,RAT,R6,correct,86.4469049,deur,9.4837482,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
5,F,F1,F1,F1,Insight,I6,incorrect,50.5214311,"hij is blind en leest
 via braille",35.6520514,4,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
5,F,F9,F9,F9,RAT,R12,incorrect,41.7865901,dak,20.0003698,5,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
6,DFU,DFU3,DFU3,DFU3,Insight,I3,correct,33.345247,vertrouwen,8.171133,2,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
6,DFU,DFU2,DFU2,DFU2,RAT,R10,correct,25.5405316,lopende,20.002624,6,20,Vrouw,ASO/doorstroomfinaliteit,5-6 uren,Boven gemiddeld,0c320192-1433-46c0-b607-7c06c4a3e07b
