block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU5,DFU5,DFU5,Insight,I4,correct,63.0451503,No Response,94.4029249,7,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
1,DFU,DFU2,DFU2,DFU2,RAT,R1,incorrect,65.5629588,feest,17.1683168,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
1,DFU,DFU8,DFU8,DFU8,Insight,I12,correct,60.6949141,vuur,20.0970094,1,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
1,DFU,DFU11,DFU11,DFU11,Insight,I2,incorrect,56.6373626,woestijn,81.0625585,6,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
2,F,F4,F4,F4,Insight,I7,correct,31.6510094,als het ijs is of er een brug is,32.0896835,7,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
2,F,F3,F3,F3,RAT,R7,correct,35.19838,No Response,20.0114898,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
2,F,F10,F10,F10,RAT,R9,correct,48.3531034,boterham,13.1362133,1,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
2,F,F7,F7,F7,RAT,R6,correct,38.9410795,bar,16.5690921,7,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
3,F,F1,F1,F1,Insight,I8,incorrect,33.8044465,marit > ruben . coach,120.0052053,1,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
3,F,F2,F2,F2,Insight,I11,correct,18.1047398,temperatuur,30.7876503,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
3,F,F5,F5,F5,RAT,R10,correct,15.2341546,beloning,16.3557774,7,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
3,F,F6,F6,F6,Insight,I10,correct,32.4066658,2x de zanloper van 7 min en dan nog een min zelf tellen,81.7122481,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
4,DFU,DFU7,DFU7,DFU7,Insight,I1,incorrect,44.4116441,beton is nog nat,25.368465,1,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
4,DFU,DFU1,DFU1,DFU1,RAT,R4,correct,42.0788532,lente,10.562913,1,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
4,DFU,DFU6,DFU6,DFU6,RAT,R5,correct,34.9755207,goudvis,16.8166921,1,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
4,DFU,DFU3,DFU3,DFU3,Insight,I6,correct,11.2314017,hoe weet je zeker dat hij nog leest,43.9536182,5,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
5,F,F8,F8,F8,RAT,R12,correct,17.7509012,No Response,20.0021185,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
5,F,F9,F9,F9,Insight,I5,correct,27.4896517,de zon,86.9063761,1,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
5,F,F12,F12,F12,Insight,I9,correct,24.4255906,verkeerde keizer van dat jaar,73.9816587,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
5,F,F11,F11,F11,RAT,R11,correct,4.1285603,dokter,9.1159871,1,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
6,DFU,DFU9,DFU9,DFU9,Insight,I3,correct,7.9650541,een hart,12.4385397,3,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
6,DFU,DFU10,DFU10,DFU10,RAT,R3,incorrect,20.9136342,sneeuw,14.6989589,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
6,DFU,DFU12,DFU12,DFU12,RAT,R8,correct,4.0093125,boot,9.2186158,1,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
6,DFU,DFU4,DFU4,DFU4,RAT,R2,correct,10.9483895,nederland,8.3537858,4,18,Vrouw,ASO/doorstroomfinaliteit,1-2 uren,Boven gemiddeld,327fd6d3-0631-4dc9-ba3a-6b00b12c0b0a
