block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU2,DFU2,DFU2,RAT,R8,correct,40.0737874,huis,13.9562178,1,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
1,DFU,DFU9,DFU9,DFU9,Insight,I8,correct,64.2744159,coach>Hem>Ruben>Marit,96.2020553,7,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
1,DFU,DFU3,DFU3,DFU3,RAT,R10,correct,30.4896612,wandelen,16.3340313,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
1,DFU,DFU4,DFU4,DFU4,Insight,I7,correct,22.1576036,Als het meer ondiep is,55.4863301,5,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
2,F,F9,F9,F9,RAT,R2,correct,48.8725274,zwitserland,19.0505181,1,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
2,F,F12,F12,F12,Insight,I5,correct,76.974152,de zon,91.9133805,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
2,F,F4,F4,F4,Insight,I2,correct,76.4441803,Het menselijk lichaam,91.7691419,1,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
2,F,F3,F3,F3,RAT,R11,incorrect,41.0927221,turnen,12.7700644,7,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
3,F,F7,F7,F7,Insight,I3,correct,86.291991,een hart,10.416525,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
3,F,F10,F10,F10,Insight,I11,correct,71.523042,een berg,49.5679886,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
3,F,F6,F6,F6,Insight,I4,correct,77.4493844,No Response,114.6832471,7,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
3,F,F11,F11,F11,RAT,R9,incorrect,41.0485863,brooddoos,12.1613783,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
4,DFU,DFU5,DFU5,DFU5,RAT,R7,correct,24.723802,tuin,16.0190356,7,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
4,DFU,DFU12,DFU12,DFU12,RAT,R6,correct,48.6335671,woonkamer,16.7007847,1,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
4,DFU,DFU10,DFU10,DFU10,RAT,R1,correct,18.8522604,cafe,12.3540751,1,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
4,DFU,DFU7,DFU7,DFU7,Insight,I6,correct,17.6686004,"hij leest in braille, blindenschrift",27.6661029,1,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
5,DFU,DFU8,DFU8,DFU8,Insight,I9,incorrect,42.669465,"De keizers geloofden nog in de Romeinse goden, er zou geen voor Chistus mogen opstaan",64.3799502,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
5,DFU,DFU11,DFU11,DFU11,Insight,I10,correct,16.65119,Je laat die van 11 minuten lopen en zet die,120.0137478,6,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
5,DFU,DFU1,DFU1,DFU1,RAT,R5,correct,20.4214782,goudvis,16.2356321,1,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
5,DFU,DFU6,DFU6,DFU6,Insight,I12,correct,32.3494233,vuur,21.2212136,1,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
6,F,F8,F8,F8,Insight,I1,incorrect,42.9853168,zijn val werd gebroken door een beveiligingstouw,96.8863578,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
6,F,F5,F5,F5,RAT,R4,correct,22.3478553,akker,17.8741789,1,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
6,F,F2,F2,F2,RAT,R3,correct,58.6603143,kleding,14.0106819,4,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
6,F,F1,F1,F1,RAT,R12,correct,62.4042482,tuin,7.2561551,7,18,Man,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,702043f7-d146-47fb-92de-0c923dc65db3
