block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU12,DFU12,DFU12,Insight,I4,correct,35.9703398,60 seconden,99.1059051,7,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,782a1b6c-6abc-4829-b603-8c2b22ec4d39
1,DFU,DFU4,DFU4,DFU4,Insight,I5,correct,49.4175084,No Response,120.0209979,6,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,782a1b6c-6abc-4829-b603-8c2b22ec4d39
1,DFU,DFU9,DFU9,DFU9,Insight,I10,correct,52.9037801,"Je zou allebei de zandlopers kunnen  omdraaien  maar die van 7 minuten iets minder lang,",120.0090597,5,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,782a1b6c-6abc-4829-b603-8c2b22ec4d39
1,DFU,DFU5,DFU5,DFU5,RAT,R6,correct,43.7490636,deur,20.0146635,4,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,782a1b6c-6abc-4829-b603-8c2b22ec4d39
2,DFU,DFU10,DFU10,DFU10,RAT,R5,incorrect,45.4294861,No Response,20.0158575,6,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,782a1b6c-6abc-4829-b603-8c2b22ec4d39
2,DFU,DFU11,DFU11,DFU11,RAT,R3,correct,47.474,sneeuw,20.0128418,2,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,782a1b6c-6abc-4829-b603-8c2b22ec4d39
2,DFU,DFU3,DFU3,DFU3,Insight,I3,incorrect,42.2408583,hart,21.2242488,2,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,782a1b6c-6abc-4829-b603-8c2b22ec4d39
2,DFU,DFU2,DFU2,DFU2,RAT,R7,correct,32.8591095,hout,20.0042621,5,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,782a1b6c-6abc-4829-b603-8c2b22ec4d39
3,F,F6,F6,F6,RAT,R4,correct,35.1521578,No Response,20.0099321,5,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,782a1b6c-6abc-4829-b603-8c2b22ec4d39
3,F,F7,F7,F7,RAT,R12,correct,33.6074589,e,20.0023037,6,19,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,782a1b6c-6abc-4829-b603-8c2b22ec4d39
