block_number,experimental_condition,belief_id,critique_id,mc_id,task_type,task_id,response_1,reaction_time_1,response_2,reaction_time_2,response_3,age,gender,education_level (third grade),social_media_hours (daily),verbal_intelligence (self-perceived),participant_identification
1,DFU,DFU8,DFU8,DFU8,Insight,I10,correct,66.50860860000012,timer van 11 en da n iets meer dan de helft van 7 min,120.01426679999986,4,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
1,DFU,DFU11,DFU11,DFU11,RAT,R8,correct,47.6450133999997,kuisen,20.007866200000535,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
1,DFU,DFU4,DFU4,DFU4,Insight,I11,correct,29.80036579999978,"een uitsc
huifbare ladder",40.91499840000051,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
1,DFU,DFU7,DFU7,DFU7,Insight,I6,correct,40.81802080000034,een lampje,20.864524200000233,7,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
2,F,F4,F4,F4,Insight,I12,correct,31.723017000000254,spons,43.84205850000035,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
2,F,F3,F3,F3,RAT,R10,incorrect,33.89669139999933,wandelen,9.266217100000176,7,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
2,F,F10,F10,F10,RAT,R5,correct,35.28841150000062,goudvis,17.23382059999949,4,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
2,F,F7,F7,F7,Insight,I4,correct,37.66038639999988,/,90.0022341999993,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
3,DFU,DFU5,DFU5,DFU5,RAT,R6,correct,25.785974699999315,cafe,15.842607999999927,7,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
3,DFU,DFU3,DFU3,DFU3,RAT,R12,correct,46.15816849999919,sauna,15.131183899999996,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
3,DFU,DFU6,DFU6,DFU6,RAT,R4,correct,21.24828660000003,vakantie,15.412248700000418,4,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
3,DFU,DFU9,DFU9,DFU9,RAT,R7,correct,22.78019420000055,avonturier,18.413779800000157,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
4,DFU,DFU10,DFU10,DFU10,RAT,R2,correct,27.18409470000006,boer,13.186862099999416,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
4,DFU,DFU1,DFU1,DFU1,Insight,I3,correct,24.415147000000616,een hart,78.58189020000009,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
4,DFU,DFU2,DFU2,DFU2,Insight,I7,correct,24.21675529999993,wanneer het gevroren heeft,28.467717200000152,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
4,DFU,DFU12,DFU12,DFU12,Insight,I9,correct,35.24917390000064,er was nog geen brons?,70.40903460000027,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
5,F,F2,F2,F2,Insight,I8,correct,34.69516610000028,hem > hij > ruben > marit,82.11844029999975,4,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
5,F,F8,F8,F8,Insight,I5,correct,59.65702620000047,geodriehoek,27.58610779999981,4,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
5,F,F5,F5,F5,RAT,R11,correct,22.481273200000032,dietist,7.778267400000004,1,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
5,F,F1,F1,F1,Insight,I1,correct,23.47262690000025,hij stond niet hoog op de ladder,28.014942199999496,4,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
6,F,F9,F9,F9,RAT,R1,correct,34.90368920000037,No Response,20.01089890000003,7,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
6,F,F12,F12,F12,RAT,R9,incorrect,33.573283900000206,schoollunch,9.629372899999908,4,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
6,F,F11,F11,F11,RAT,R3,correct,24.633501699999215,sneeuwwandeling,16.117698300000484,4,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
6,F,F6,F6,F6,Insight,I2,correct,28.338063000000147,fantasie,61.88298720000057,7,20,Vrouw,ASO/doorstroomfinaliteit,4-5 uren,Gemiddeld,24a96431-a6ed-424e-9249-d1c10ffcab3b
